"Voice_ID","Expectation_ID","Mismatch_Type","Reflex_Triggered","Narrative_Tension","Qualifier","Reflex_Complexity","Repair_Protocol_ID"
"F001","M002","Emotional misread","Withdrawal","She’s quiet but hurting","Green","meta — guilt about expressing pain",RP001
"F002","M014","Labor imbalance","Explosion","He sees chores as love, she sees them as burden","Blue","somatic — tension stored in jaw and shoulders",RP002
"F003","M037","Symbolic vs. practical future","Hopeful projection","She dreams aloud, he plans silently","Centre","drift — future vision diverges over time",RP003
"F004","M024","Emotional avoidance","Anxiety spiral","She seeks clarity, he avoids depth","Red","loop — her anxiety feeds his withdrawal",RP004
"F005","M071","Invisible labor","Resentment","She’s exhausted, he assumes stability","Red","compound — resentment + fatigue + silence",RP005
"F006","M011","Emotional gap","Disappointment","She wants words, he offers achievements","Green","meta — disappointment masked by politeness",RP006
"F007","M025","Erotic mismatch","Desire spike","She wants emotional intimacy, he wants spontaneity","Green","loop — her longing triggers his detachment",RP007
"F008","M014","Mental load mismatch","Frustration","She plans everything, he assumes it’s handled","Blue","somatic — cognitive overload, clenched jaw",RP008
"F009","M051","Emotional vs. logistical priority","Confusion","She wants clarity, he wants routine","Yellow","compound — emotional need + practical neglect",RP009
"F010","M072","Abandonment trauma","Sadness","She feels discarded, he thinks silence is loyalty","Centre","drift — sadness deepens after silence",RP010
"F011","M027","Cognitive overload","Irritation","She’s mentally taxed, he sees her as easygoing","Blue","somatic — mental fatigue expressed physically",RP011
"F012","M030","Emotional delay","Longing","She waits for connection, he thinks laughter is enough","Green","drift — delayed emotional need vs. surface bonding",RP012
"F013","M043","Moral betrayal","Rage","She feels violated, he expects public loyalty","Red","compound — rage + moral injury + silencing",RP013
"F014","M017","Emotional attunement","Tenderness","She opens up, he responds with humor","Green","loop — vulnerability met with deflection",RP014
"F015","M007","Recognition gap","Bitterness","She gives endlessly, he expects gratitude","Blue","meta — bitterness from unacknowledged effort",RP015
"F016","M052","Emotional synchrony","Joy","She feels seen, he feels bonded","Centre","compound — mutual validation through intimacy",RP016
"F017","M005","Emotional absenteeism","Isolation","She carries the emotional weight, he detaches","Red","loop — her emotional labor feeds his withdrawal",RP017
"F018","M038","Intellectual match","Admiration","She feels alive, he feels valued","Blue","compound — mutual stimulation and respect",RP018
"F019","M055","Clarity mismatch","Doubt","She wants answers, he wants peace","Yellow","meta — doubt triggered by avoidance",RP019
"F020","M015","Repair attempt","Relief","She feels heard, he feels forgiven","Green","loop — vulnerability met with empathy",RP020
"F021","M084","Self-neglect praised","Guilt spiral","She’s exhausted, he sees her strength","Red","meta — guilt for needing care",RP021
"F022","M017","Emotional mismatch","Tenderness","She opens emotionally, he responds with humor","Green","loop — emotional mismatch in tone",RP022
"F023","M058","Social comparison","Jealousy spike","She sees him admire others, he sees status","Yellow","somatic — jealousy felt in body",RP023
"F024","M074","Recognition gap","Disappointment","She wants celebration, he expects praise","Blue","meta — disappointment from unmet emotional need",RP024
"F025","M063","Planning avoidance","Insecurity","She seeks clarity, he avoids future talk","Green","drift — future anxiety grows over time",RP025
"F026","M078","Betrayal minimization","Rage","She’s devastated, he wants to move on","Red","compound — rage + invalidation",RP026
"F027","M096","Emotional nostalgia","Hope","She revisits memories, he plans ahead","Centre","drift — emotional time lag",RP027
"F028","M037","Emotional alignment","Gratitude","She feels seen, he feels secure","Green","compound — mutual emotional attunement",RP028
