📘 Tab 1: Female Inner Voice,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Purpose: Captures the nuanced emotional landscape of the female perspective.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Voice_ID,Emotion,Suppressed_Need,Relational_Context,Female_Archetype,Male_Archetype,Emotional_Reflex_Trigger,Qualifier,We-ness Experience,Micro-Contexts,Voice Variants,Somatic Expression,Cultural Overlay,Attachment Style Reflection,,,,,,,,
F001,Loneliness,Emotional reciprocity,Early dating,Young Single,Nice Guy,Lack of emotional check-in,Green,↓,"Text silence, missed calls",“I feel invisible”,"Hollow chest, sighing",Western dating norms,Anxious,,,,,,,,
F002,Resentment,Shared responsibility,Long-term marriage,Relationally Fulfilled,Bad Guy,Overburdened domestic labor,Blue,↓,"Chores, childcare logistics",“I do everything”,Tension in shoulders,Traditional gender roles,Preoccupied,,,,,,,,
F003,Hope,Future-building,Post-divorce,Older Single,Good Guy,Symbolic we-ness offered,Centre,↑,"Joint visioning, future talk",“Maybe we could…”,Lightness in chest,Western reinvention narrative,Secure,,,,,,,,
F004,Anxiety,Safety & clarity,Situationship,Young Single,Bad Guy,Mixed signals,Red,↓,"Text delays, vague plans",“What are we?”,Shallow breathing,Hookup culture ambiguity,Anxious,,,,,,,,
F005,Exhaustion,Time & energy balance,Co-parenting,Older Single,Nice Guy,Invisible labor,Red,↓,"School prep, meal planning",“I’m drowning”,Heavy limbs,Maternal expectation norms,Preoccupied,,,,,,,,
F006,Disappointment,Verbal affirmation,Anniversary,Relationally Fulfilled,Nice Guy,Silent celebration,Green,↓,"Missed milestone, no card",“Does he even care?”,Drooped posture,Western romantic rituals,Anxious,,,,,,,,
F007,Desire,Emotional intimacy,New relationship,Young Single,Good Guy,Gentle physical touch,Green,↑,"Hand-holding, cuddling",“I want to feel close”,Tingling skin,Western dating scripts,Secure,,,,,,,,
F008,Frustration,Mental load relief,Daily routine,Relationally Fulfilled,Bad Guy,Ignored planning efforts,Blue,↓,"Calendar, logistics",“Why is it always me?”,Jaw clenching,Invisible labor norms,Preoccupied,,,,,,,,
F009,Confusion,Clarity of intent,Online dating,Young Single,Bad Guy,Fluctuating attention,Yellow,↓,"Swipe fatigue, ghosting",“Is this real?”,Furrowed brow,Digital dating culture,Anxious,,,,,,,,
F010,Sadness,Being chosen,Post-breakup,Older Single,Bad Guy,Ghosting after intimacy,Centre,↓,Silence after sex,“I wasn’t enough”,Slumped shoulders,Western breakup norms,Fearful-avoidant,,,,,,,,
F011,Doubt,Emotional clarity,Texting phase,Young Single,Bad Guy,Vague replies,Yellow,↓,"Delayed responses, emoji ambiguity",“Is he into me?”,"Tight chest, restless fingers",Digital ambiguity norms,Anxious,,,,,,,,
F012,Admiration,Emotional maturity,Conflict resolution,Relationally Fulfilled,Good Guy,Calm discussion,Green,↑,Post-argument reflection,“He really listened”,Relaxed shoulders,Western therapy culture,Secure,,,,,,,,
F013,Anxiety,Reassurance,Uncertain future,Young Single,Nice Guy,Avoidance of planning,Red,↓,"Life goals, housing talk",“Does he see me long-term?”,Racing heart,Western independence norms,Anxious,,,,,,,,
F014,Gratitude,Emotional support,Health crisis,Relationally Fulfilled,Good Guy,Steady caregiving,Green,↑,"Hospital visits, medication reminders",“He showed up”,"Soft gaze, warm chest",Caregiver idealization,Secure,,,,,,,,
F015,Irritation,Mental bandwidth,Daily decisions,Relationally Fulfilled,Nice Guy,Delegated thinking,Blue,↓,"Grocery lists, scheduling",“Why do I have to decide everything?”,Jaw tension,Invisible labor norms,Preoccupied,,,,,,,,
F016,Longing,Shared dreams,Life planning,Older Single,Good Guy,Vision alignment,Centre,↑,"Retirement talk, travel plans",“We could build something”,Expansive breath,Western reinvention narrative,Secure,,,,,,,,
F017,Confusion,Emotional consistency,Mixed behavior,Young Single,Bad Guy,Hot-cold pattern,Yellow,↓,"Fluctuating tone, ghosting",“I don’t know where I stand”,Furrowed brow,Hookup culture ambiguity,Anxious,,,,,,,,
F018,Relief,Emotional safety,After vulnerability,Relationally Fulfilled,Good Guy,Acceptance without judgment,Green,↑,Post-disclosure moment,“He didn’t flinch”,Deep exhale,Western emotional literacy,Secure,,,,,,,,
F019,Bitterness,Recognition,Years of sacrifice,Older Single,Nice Guy,Lack of feedback,Blue,↓,"Career support, parenting",“I gave everything”,Heavy limbs,Generational gender roles,Preoccupied,,,,,,,,
F020,Desire,Erotic connection,Intimate evening,Relationally Fulfilled,Good Guy,Mutual initiation,Green,↑,"Candlelight, shared touch",“I want to feel wanted”,Tingling skin,Western sensuality norms,Secure,,,,,,,,
F021,Guilt,Permission to rest,Overworked mother,Older Single,Nice Guy,Self-neglect praised as strength,Red,↓,"Weekend exhaustion, skipped self-care",“I shouldn’t need a break”,Slumped posture,Maternal martyrdom culture,Anxious,,,,,,,,
F022,Tenderness,Shared vulnerability,Quiet evening,Relationally Fulfilled,Good Guy,Eye contact and silence,Green,↑,"Couch talk, shared silence",“We’re really here”,"Soft eyes, open palms",Western emotional fluency,Secure,,,,,,,,
F023,Jealousy,Emotional priority,Social media comparison,Young Single,Bad Guy,His public attention to others,Yellow,↓,"Instagram likes, comment threads",“Why her?”,"Tight jaw, flushed cheeks",Digital envy norms,Anxious,,,,,,,,
F024,Pride,Recognition of effort,Career milestone,Relationally Fulfilled,Nice Guy,Lack of celebration,Blue,↓,"Promotion, award moment",“He didn’t even notice”,"Upright posture, clenched fists",Western achievement culture,Preoccupied,,,,,,,,
F025,Insecurity,Reassurance,New relationship,Young Single,Good Guy,Delay in response,Green,↓,"Text gaps, ambiguous tone",“Am I too much?”,Nervous tapping,Digital dating norms,Anxious,,,,,,,,
F026,Rage,Emotional betrayal,Discovery of affair,Relationally Fulfilled,Bad Guy,Lies exposed,Red,↓↓↓,"Phone records, confession",“How could he?”,"Shaking hands, clenched fists",Western monogamy norms,Fearful-avoidant,,,,,,,,
F027,Nostalgia,Emotional depth,Old flame reappears,Older Single,Bad Guy,Unresolved memories,Centre,↑↓,"Old photos, familiar scent",“What if…”,"Soft smile, teary eyes",Romantic idealization,Preoccupied,,,,,,,,
F028,Gratitude,Mutual growth,Therapy together,Relationally Fulfilled,Good Guy,Shared emotional language,Green,↑,"Session reflection, shared notes",“We’re evolving”,Relaxed breath,Western therapy culture,Secure,,,,,,,,
F029,Boredom,Intellectual stimulation,Routine life,Relationally Fulfilled,Nice Guy,Repetitive conversations,Blue,↓,"Dinner talk, weekend plans","“Same old, same old”","Flat tone, glazed eyes",Western middle-class norms,Avoidant,,,,,,,,
F030,Fear,Safety & protection,Unsafe environment,Young Single,Bad Guy,Aggressive tone,Red,↓↓↓,"Raised voice, slammed door",“I don’t feel safe”,"Shallow breath, frozen limbs",Domestic violence awareness,Fearful-avoidant,,,,,,,,
