"layer_type","actor","phase","color","emotional_function","polarity_shift","os_layer","rupture_trigger","wheel_centre","notes","tension_type","actor_role","perceived_by_partner","containment_gate","narrative_branch"
"internal","male","1","blue","flow ownership","None","Human","None","PFC clarity","Rooted presence, purpose before performance","within","flow_owner","yes","open","Stage_1_leadup"
"internal","male","2","red","emotional tension","blue → red","Relational","over-caring","Inner smile centre","Guides her from red to green via we-protocol","within","flow_owner","no","requires_we_protocol","Stage_2_argument"
"internal","male","3","yellow","spectacle pressure","red → yellow","Societal","performance","Inner smile centre","Leads we from blue to yellow via we-protocol","within","performer","partial","co-regulation","Stage_3_separation"
"internal","male","4","green","over-caring","yellow → green","Relational","loss of polarity","None","Distracted from blue, stuck in performance","within","collapsed","no","blocked","Stage_4a_male_collapse"
"internal","female","1","green","supportive resonance","None","Human","None","PFC clarity","Attuned to masculine flow","within","observer","yes","open","Stage_1_leadup"
"internal","female","2","yellow","external observation","green → yellow","Societal","loss of sanctuary","None","Feels watched; loses inward peace","within","mirror","partial","co-regulation","Stage_3_separation"
"internal","female","3","red","emotional correction","yellow → red","Relational","over-caring","None","Pushes back against male distraction","within","corrector","yes","requires_we_protocol","Stage_2_argument"
"internal","female","4","blue","emotional collapse","red → blue","Human","crying didn’t work","Feeling of we/us","Silent hug; emotional maturity begins","within","collapsed","no","blocked","Stage_4b_female_confirmation"
"external","male","1","blue","calibration","None","Relational","None","PFC clarity","Movement, tone, pacing reflect inner axis","between","mirror","yes","open","Stage_5_silent_hug"
"external","female","1","green","response","None","Relational","None","Feeling of we/us","Expression, testing, softening mirror inner state","between","receiver","yes","open","Stage_5_silent_hug"
"background","male","role","blue","net flow owner","None","Relational","None","PFC clarity","Holds tension, calibrates polarity","between","logistics_owner","partial","requires_we_protocol","Stage_6_male_leads"
"background","female","role","green","net flow observer","None","Relational","None","Feeling of we/us","Feels, responds, tests masculine depth","between","emotional_observer","yes","co-regulation","Stage_6_male_leads"
