"layer_type","os_layer","color","function","description","flow_direction","emotional_role","real_life_function","tension_axis","actor_impact"
"internal","internal","blue","task execution","Logical, mechanical, flow-driven work","inside-out","masculine flow anchor","actor’s felt logistics","blue-red","male anchors flow"
"internal","internal","red","task control","Time, resources, quality management","inside-out","masculine tension","actor’s control loop","red-green","male holds tension"
"internal","internal","green","emotional labeling","Internal observer assigns emotional meaning","inside-out","feminine attunement","actor’s emotional meaning-making","green-red","female assigns value"
"internal","internal","yellow","external output","Communicated result—mix of blue, red, green","inside-out","expression synthesis","actor’s expressive blend","yellow-red","actor performs under pressure"

"external","external","green","perception","Observer sees the output—tone, style, energy","outside-in","feminine reception","partner’s emotional reception","green-yellow","female receives signal"
"external","external","red","judgment","Observer evaluates—efficiency, correctness, impact","outside-in","feminine correction","partner’s control feedback","red-blue","female corrects male"
"external","external","blue","processing","Observer integrates—what does this mean for them?","outside-in","masculine calibration","partner’s meaning-making","blue-green","male recalibrates"
"external","external","yellow","received output","Final interpretation—what the world 'gets' from you","outside-in","social reflection","partner’s social mirror","yellow-green","female reflects performance"

"background","external","blue","logistics flow","Household structure, money, chores, planning","bidirectional","masculine logistics","real-life flow ownership","blue-red","male carries logistics tension"
"background","external","red","control tension","Deadlines, parenting, safety enforcement","bidirectional","masculine pressure","real-life control enforcement","red-green","male/female tradeoff"
"background","external","green","emotional spice","Atmosphere, tone, softness, sanctuary","bidirectional","feminine contribution","real-life emotional layer","green-red","female softens structure"
"background","external","yellow","social optics","How the household appears to others","bidirectional","shared projection","real-life social output","yellow-blue","both perform for world"
